                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.76484,                0.32012,                0.91909,                 0.9555,                 0.9639,                0.97412,                0.76623,                0.87624,                0.40355,                 1.0024,              0.0007724,              0.0007724,              0.0007724
                     64,                0.76033,                0.32178,                0.91388,                0.95675,                0.96525,                0.96915,                0.75669,                0.87088,                0.40202,                 0.9888,              0.0007526,              0.0007526,              0.0007526
                     65,                0.75905,                0.31639,                 0.9147,                0.94965,                0.96084,                0.96185,                0.75852,                0.87899,                0.41806,                 1.0011,              0.0007328,              0.0007328,              0.0007328
                     66,                0.75118,                0.31663,                 0.9134,                0.95246,                0.96323,                 0.9716,                0.76147,                0.85831,                0.40357,                0.96723,               0.000713,               0.000713,               0.000713
                     67,                0.74754,                0.31337,                0.90641,                0.94175,                 0.9585,                0.96143,                0.74745,                 0.8962,                0.41644,                 1.0169,              0.0006932,              0.0006932,              0.0006932
                     68,                0.74928,                0.31451,                0.90855,                 0.9619,                0.96896,                0.97026,                0.77028,                0.85861,                0.39899,                0.96856,              0.0006734,              0.0006734,              0.0006734
                     69,                0.74436,                0.31235,                0.90754,                0.94642,                0.95357,                0.95156,                0.74831,                0.88796,                0.42334,                 1.0085,              0.0006536,              0.0006536,              0.0006536
                     70,                0.74141,                0.31126,                0.90486,                0.95322,                0.96249,                0.96751,                 0.7663,                0.85755,                 0.4029,                0.97216,              0.0006338,              0.0006338,              0.0006338
                     71,                0.73389,                0.30561,                0.90487,                0.94549,                0.95973,                 0.9637,                0.76552,                0.85774,                0.42996,                0.97201,               0.000614,               0.000614,               0.000614
                     72,                0.72969,                0.30427,                0.90548,                0.95208,                0.96053,                0.96039,                0.75495,                0.88938,                0.40898,                 1.0074,              0.0005942,              0.0005942,              0.0005942
                     73,                0.73249,                0.30503,                0.90539,                0.96083,                0.96009,                0.96736,                0.76708,                0.85916,                 0.4025,                0.97975,              0.0005744,              0.0005744,              0.0005744
                     74,                0.73781,                0.30522,                0.90436,                0.96239,                0.96424,                 0.9706,                0.76593,                0.86237,                0.38589,                0.96872,              0.0005546,              0.0005546,              0.0005546
                     75,                0.73262,                0.30464,                 0.9052,                0.96597,                0.96738,                0.97073,                0.76686,                0.88372,                0.37896,                0.99659,              0.0005348,              0.0005348,              0.0005348
                     76,                 0.7328,                0.30359,                0.90528,                0.96526,                0.96561,                0.97049,                0.76256,                0.86067,                 0.3918,                0.97652,               0.000515,               0.000515,               0.000515
                     77,                0.72898,                0.30477,                0.90055,                0.95356,                0.96293,                 0.9635,                0.75923,                0.85718,                 0.4042,                0.97604,              0.0004952,              0.0004952,              0.0004952
                     78,                0.72457,                0.30108,                0.90446,                0.95023,                0.95979,                0.96021,                0.76071,                0.86281,                0.39619,                0.98599,              0.0004754,              0.0004754,              0.0004754
                     79,                0.72025,                0.29809,                0.90289,                0.95039,                 0.9639,                0.95985,                0.74539,                0.90794,                0.40083,                 1.0298,              0.0004556,              0.0004556,              0.0004556
                     80,                0.72327,                0.29899,                0.90014,                0.94722,                0.95175,                 0.9498,                0.75297,                0.86399,                0.44324,                0.98163,              0.0004358,              0.0004358,              0.0004358
                     81,                0.71366,                0.29584,                0.89726,                0.96056,                0.96137,                0.96764,                0.76303,                0.86094,                0.40277,                0.97752,               0.000416,               0.000416,               0.000416
                     82,                0.71912,                0.29764,                0.90181,                0.95585,                0.96426,                0.96991,                0.76647,                0.84927,                0.40142,                0.97357,              0.0003962,              0.0003962,              0.0003962
                     83,                0.71555,                0.29419,                0.90143,                0.95331,                0.95748,                0.96066,                0.75261,                0.88531,                0.39558,                 1.0104,              0.0003764,              0.0003764,              0.0003764
                     84,                0.71035,                0.29352,                0.89362,                0.95943,                0.96086,                0.96588,                0.76064,                0.86267,                0.39196,                0.98716,              0.0003566,              0.0003566,              0.0003566
                     85,                0.70995,                0.29288,                0.89719,                0.96413,                0.97037,                0.96896,                0.76126,                0.85584,                0.39625,                0.97568,              0.0003368,              0.0003368,              0.0003368
                     86,                0.71102,                0.29083,                0.89738,                0.94262,                0.95324,                0.95275,                0.74659,                0.87657,                0.42882,                0.99594,               0.000317,               0.000317,               0.000317
